Iteration,Action,Payoff,Selection Method
0,1,2,greedy
1,1,2,greedy
2,1,2,greedy
3,1,2,random
4,1,2,greedy
5,1,2,greedy
6,1,2,greedy
7,1,2,greedy
8,1,2,greedy
9,1,2,greedy
10,1,2,greedy
11,1,2,greedy
12,1,2,greedy
13,1,2,greedy
14,1,2,random
15,1,2,greedy
16,1,2,greedy
17,1,2,greedy
18,1,2,greedy
19,1,2,random
20,1,6,greedy
21,1,2,greedy
22,1,6,greedy
23,1,2,greedy
24,1,2,greedy
25,1,2,greedy
26,1,2,random
27,1,2,greedy
28,1,2,greedy
29,1,2,greedy
30,0,0,random
31,1,2,greedy
32,1,2,greedy
33,1,6,greedy
34,0,0,random
35,1,2,greedy
36,1,2,greedy
37,1,2,greedy
38,1,2,greedy
39,1,2,greedy
40,1,2,greedy
41,1,2,greedy
42,1,6,greedy
43,1,2,greedy
44,1,2,random
45,1,2,greedy
46,1,2,greedy
47,1,2,greedy
48,1,2,greedy
49,1,2,greedy
50,1,2,random
51,1,2,greedy
52,1,2,greedy
53,1,2,greedy
54,1,2,greedy
55,1,2,greedy
56,1,2,greedy
57,1,2,greedy
58,1,2,random
59,1,2,greedy
60,1,2,greedy
61,1,2,greedy
62,1,2,greedy
63,1,6,greedy
64,1,2,greedy
65,1,2,greedy
66,1,6,greedy
67,1,2,greedy
68,1,2,greedy
69,1,2,greedy
70,1,2,greedy
71,1,2,greedy
72,1,2,greedy
73,1,2,greedy
74,1,2,greedy
75,1,2,greedy
76,1,2,greedy
77,1,2,greedy
78,1,2,greedy
79,1,6,greedy
80,1,2,greedy
81,1,2,greedy
82,1,2,greedy
83,1,6,greedy
84,1,2,random
85,1,2,greedy
86,1,2,greedy
87,1,2,greedy
88,1,2,greedy
89,1,6,greedy
90,1,2,greedy
91,1,2,greedy
92,1,2,greedy
93,1,2,greedy
94,1,2,greedy
95,1,2,greedy
96,1,2,greedy
97,1,2,greedy
98,1,2,greedy
99,1,2,greedy
100,1,2,greedy
101,1,2,greedy
102,1,2,greedy
103,1,2,greedy
104,1,2,greedy
105,0,0,random
106,1,2,greedy
107,1,2,greedy
108,1,2,greedy
109,1,2,greedy
110,1,2,greedy
111,1,2,greedy
112,1,2,greedy
113,1,2,greedy
114,1,2,greedy
115,1,2,greedy
116,1,2,greedy
117,1,6,greedy
118,1,2,greedy
119,1,2,greedy
120,1,2,greedy
121,1,6,random
122,1,2,greedy
123,1,2,greedy
124,0,0,random
125,1,2,greedy
126,1,2,greedy
127,1,2,random
128,1,2,greedy
129,1,2,greedy
130,1,2,greedy
131,1,2,greedy
132,1,2,greedy
133,1,2,greedy
134,1,2,greedy
135,1,6,greedy
136,1,2,greedy
137,1,2,greedy
138,1,2,greedy
139,1,2,greedy
140,1,2,greedy
141,0,0,random
142,1,2,greedy
143,1,2,greedy
144,1,2,greedy
145,1,2,greedy
146,1,2,greedy
147,1,2,greedy
148,0,0,random
149,1,2,greedy
150,1,2,greedy
151,0,0,random
152,1,2,greedy
153,1,2,greedy
154,1,2,greedy
155,1,2,greedy
156,1,2,greedy
157,1,2,greedy
158,1,2,greedy
159,1,2,greedy
160,1,2,greedy
161,1,2,greedy
162,1,2,greedy
163,1,2,greedy
164,1,2,greedy
165,1,2,greedy
166,1,2,greedy
167,1,2,greedy
168,1,2,greedy
169,1,2,greedy
170,1,2,greedy
171,1,2,greedy
172,1,2,greedy
173,1,2,greedy
174,1,2,greedy
175,1,2,greedy
176,1,2,greedy
177,1,2,greedy
178,1,2,greedy
179,1,2,greedy
180,1,2,greedy
181,1,2,greedy
182,1,2,greedy
183,1,2,greedy
184,1,2,greedy
185,1,2,greedy
186,1,2,greedy
187,1,2,greedy
188,1,2,greedy
189,1,2,greedy
190,1,2,greedy
191,1,2,greedy
192,1,2,greedy
193,1,2,greedy
194,1,2,greedy
195,1,2,greedy
196,1,6,greedy
197,1,2,greedy
198,1,2,greedy
199,1,2,greedy
200,1,2,greedy
201,1,2,greedy
202,1,2,greedy
203,1,2,random
204,1,6,greedy
205,1,2,greedy
206,1,2,greedy
207,1,2,greedy
208,1,2,greedy
209,1,6,greedy
210,1,2,greedy
211,1,2,random
212,1,2,greedy
213,1,2,greedy
214,1,2,greedy
215,1,2,greedy
216,1,2,greedy
217,0,0,random
218,1,2,greedy
219,1,2,greedy
220,1,2,greedy
221,1,2,greedy
222,1,2,greedy
223,1,2,greedy
224,1,2,greedy
225,1,2,greedy
226,1,2,greedy
227,1,2,greedy
228,1,2,greedy
229,1,2,greedy
230,1,2,greedy
231,1,2,greedy
232,1,2,greedy
233,1,2,random
234,1,2,greedy
235,1,2,greedy
236,1,6,greedy
237,1,2,greedy
238,1,2,greedy
239,1,2,greedy
240,1,2,random
241,1,2,greedy
242,1,2,greedy
243,1,2,greedy
244,1,2,greedy
245,1,2,greedy
246,0,0,random
247,1,2,greedy
248,1,2,greedy
249,1,2,greedy
250,1,2,random
251,1,2,greedy
252,1,2,greedy
253,1,6,greedy
254,1,2,greedy
255,1,2,greedy
256,1,2,greedy
257,1,2,greedy
258,1,2,greedy
259,1,2,greedy
260,1,2,greedy
261,1,2,greedy
262,1,2,greedy
263,1,2,greedy
264,1,2,greedy
265,1,2,greedy
266,0,0,random
267,1,2,greedy
268,1,2,random
269,1,2,greedy
270,1,2,greedy
271,1,2,greedy
272,1,2,greedy
273,1,2,greedy
274,1,2,greedy
275,1,2,greedy
276,1,2,greedy
277,1,2,greedy
278,1,2,greedy
279,1,2,greedy
280,1,2,greedy
281,1,2,random
282,1,2,greedy
283,1,2,greedy
284,0,7,random
285,1,2,greedy
286,1,2,greedy
287,1,2,greedy
288,1,2,greedy
289,0,0,random
290,1,2,greedy
291,1,2,greedy
292,1,2,greedy
293,1,2,greedy
294,1,2,greedy
295,1,2,greedy
296,1,2,greedy
297,1,2,random
298,1,2,greedy
299,1,2,greedy
300,1,2,greedy
301,1,2,greedy
302,1,2,greedy
303,1,2,greedy
304,1,2,greedy
305,1,2,greedy
306,1,2,greedy
307,1,2,greedy
308,1,2,greedy
309,1,2,greedy
310,1,2,greedy
311,1,2,greedy
312,1,2,greedy
