iter_a,zero_prob_a,one_prob_a
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,1.0,0.0
11,1.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,0.97,0.03
40,0.97,0.03
41,0.98,0.02
42,0.98,0.02
43,0.98,0.02
44,0.98,0.02
45,0.98,0.02
46,0.98,0.02
47,0.98,0.02
48,0.98,0.02
49,0.98,0.02
50,0.98,0.02
51,0.98,0.02
52,0.98,0.02
53,0.98,0.02
54,0.98,0.02
55,0.98,0.02
56,0.98,0.02
57,0.98,0.02
58,0.98,0.02
59,0.98,0.02
60,0.98,0.02
61,0.98,0.02
62,0.98,0.02
63,0.98,0.02
64,0.98,0.02
65,0.98,0.02
66,0.98,0.02
67,0.99,0.01
68,0.97,0.03
69,0.97,0.03
70,0.96,0.04
71,0.96,0.04
72,0.94,0.06
73,0.93,0.07
74,0.93,0.07
75,0.93,0.07
76,0.93,0.07
77,0.94,0.06
78,0.94,0.06
79,0.92,0.08
80,0.93,0.07
81,0.93,0.07
82,0.93,0.07
83,0.93,0.07
84,0.93,0.07
85,0.93,0.07
86,0.93,0.07
87,0.93,0.07
88,0.93,0.07
89,0.93,0.07
90,0.93,0.07
91,0.93,0.07
92,0.93,0.07
93,0.94,0.06
94,0.94,0.06
95,0.94,0.06
96,0.94,0.06
97,0.94,0.06
98,0.94,0.06
99,0.94,0.06
100,0.94,0.06
101,0.94,0.06
102,0.94,0.06
103,0.94,0.06
104,0.94,0.06
105,0.94,0.06
106,0.94,0.06
107,0.94,0.06
108,0.94,0.06
109,0.94,0.06
110,0.95,0.05
111,0.95,0.05
112,0.95,0.05
113,0.95,0.05
114,0.95,0.05
115,0.95,0.05
116,0.95,0.05
117,0.95,0.05
118,0.95,0.05
119,0.95,0.05
120,0.95,0.05
121,0.95,0.05
122,0.95,0.05
123,0.95,0.05
124,0.95,0.05
125,0.95,0.05
126,0.94,0.06
127,0.94,0.06
128,0.95,0.05
129,0.95,0.05
130,0.95,0.05
131,0.95,0.05
132,0.95,0.05
133,0.95,0.05
134,0.95,0.05
135,0.95,0.05
136,0.95,0.05
137,0.95,0.05
138,0.95,0.05
139,0.95,0.05
140,0.95,0.05
141,0.95,0.05
142,0.95,0.05
143,0.95,0.05
144,0.95,0.05
145,0.95,0.05
