iter_b,action_b,payoff_b,selection_method_b
1,1,3,greedy
2,1,3,greedy
3,1,3,greedy
4,1,3,greedy
5,1,3,greedy
6,1,3,greedy
7,1,3,greedy
8,1,3,greedy
9,1,3,greedy
10,1,3,greedy
11,1,3,greedy
12,1,3,greedy
13,1,3,greedy
14,1,3,greedy
15,1,3,greedy
16,1,3,greedy
17,1,0,greedy
18,1,3,random
19,1,3,greedy
20,1,3,greedy
21,1,3,greedy
22,1,3,greedy
23,1,3,greedy
24,1,3,greedy
25,0,5,random
26,1,3,greedy
27,1,3,greedy
28,1,3,greedy
29,1,3,greedy
30,1,3,greedy
31,1,3,greedy
32,0,5,random
33,1,3,greedy
34,1,3,greedy
35,1,3,greedy
36,1,3,greedy
37,1,3,greedy
38,1,3,greedy
39,1,3,greedy
40,1,3,greedy
41,1,3,greedy
42,1,3,greedy
43,1,3,greedy
44,1,3,greedy
45,1,3,greedy
46,1,3,random
47,1,3,greedy
48,1,3,greedy
49,1,3,greedy
50,1,3,greedy
51,1,3,greedy
52,1,3,greedy
53,1,3,greedy
54,1,3,greedy
55,1,3,greedy
56,1,3,greedy
57,1,3,greedy
58,1,0,greedy
59,1,3,greedy
60,1,3,greedy
61,0,5,random
62,0,5,random
63,1,3,greedy
64,1,3,greedy
65,1,3,greedy
66,1,3,greedy
67,1,3,greedy
68,1,3,greedy
69,1,3,greedy
70,1,3,greedy
71,1,3,greedy
72,1,3,greedy
73,1,3,greedy
74,1,3,greedy
75,1,3,greedy
76,1,0,greedy
77,1,3,greedy
78,1,3,greedy
79,1,3,greedy
80,1,3,greedy
81,1,3,greedy
82,1,3,greedy
83,1,3,greedy
84,1,3,greedy
85,1,3,greedy
86,1,3,greedy
87,1,3,greedy
88,1,3,greedy
89,1,3,greedy
90,1,0,greedy
91,1,3,greedy
92,1,3,greedy
93,1,3,greedy
94,1,3,greedy
95,1,3,random
96,1,3,greedy
97,1,3,greedy
98,1,3,greedy
99,1,3,greedy
100,0,5,random
101,1,3,random
102,1,3,greedy
103,1,3,greedy
104,1,3,greedy
105,1,3,greedy
106,1,3,greedy
107,1,3,greedy
108,1,3,greedy
109,1,3,greedy
110,1,3,greedy
111,1,3,greedy
112,1,0,greedy
113,1,3,greedy
114,1,3,greedy
115,1,3,greedy
116,1,3,greedy
117,1,3,greedy
118,1,0,greedy
119,1,3,greedy
120,1,3,greedy
121,1,3,greedy
122,1,3,greedy
123,1,3,greedy
124,0,5,random
125,1,3,greedy
126,1,3,greedy
127,1,3,greedy
128,1,3,random
129,1,3,greedy
130,1,3,greedy
131,1,3,greedy
132,1,3,greedy
133,1,3,greedy
134,1,3,greedy
135,1,3,greedy
136,1,3,greedy
137,1,3,greedy
138,1,3,greedy
139,1,3,greedy
140,1,3,greedy
141,1,0,greedy
142,1,3,greedy
143,1,3,greedy
144,1,3,greedy
145,1,3,greedy
146,1,3,greedy
147,1,3,greedy
148,1,3,greedy
149,1,3,greedy
150,1,3,greedy
151,1,3,greedy
152,1,3,greedy
153,0,5,random
154,1,3,greedy
155,1,3,greedy
156,1,3,greedy
157,1,3,greedy
158,0,5,random
159,1,3,greedy
160,1,3,greedy
161,1,3,greedy
162,1,3,greedy
163,1,3,greedy
164,1,3,greedy
165,1,3,greedy
166,1,3,greedy
167,1,3,greedy
168,1,3,greedy
169,0,5,random
170,1,3,greedy
171,1,3,greedy
172,1,3,greedy
173,1,3,greedy
174,1,3,greedy
175,1,3,greedy
176,1,0,greedy
177,1,3,greedy
178,1,3,greedy
179,1,3,greedy
180,0,5,random
181,1,3,greedy
182,1,3,greedy
183,1,3,greedy
184,1,3,greedy
185,1,3,random
186,1,3,greedy
187,1,3,greedy
188,1,3,greedy
189,0,5,random
190,1,3,random
191,1,3,greedy
192,1,3,greedy
193,1,3,greedy
194,1,3,greedy
195,1,3,greedy
196,1,3,greedy
197,1,3,greedy
198,1,3,greedy
199,1,3,greedy
200,1,3,greedy
201,1,3,greedy
202,1,3,greedy
203,1,3,greedy
204,1,3,greedy
205,1,3,greedy
206,1,3,greedy
207,1,3,greedy
208,1,3,greedy
209,1,3,greedy
210,1,3,greedy
211,1,3,greedy
212,1,3,greedy
213,1,3,greedy
214,1,0,greedy
215,1,3,greedy
216,1,3,greedy
217,1,3,greedy
218,1,3,random
219,1,0,greedy
220,1,3,greedy
221,1,3,greedy
222,1,3,greedy
223,1,3,greedy
224,1,3,greedy
225,1,3,greedy
226,1,3,greedy
227,1,3,greedy
228,1,3,greedy
229,1,3,greedy
230,1,3,greedy
231,1,3,greedy
232,1,3,greedy
233,1,3,greedy
234,1,3,greedy
235,1,3,greedy
236,1,3,greedy
237,1,3,greedy
238,1,3,greedy
239,1,3,greedy
240,1,3,greedy
241,1,3,greedy
242,1,3,greedy
243,1,3,greedy
244,1,3,greedy
245,1,3,greedy
246,1,3,greedy
247,1,0,random
248,1,3,greedy
249,1,3,greedy
250,1,3,greedy
251,1,3,greedy
252,1,3,greedy
253,1,3,greedy
254,1,3,greedy
255,1,0,greedy
256,1,3,random
257,1,3,greedy
258,1,0,random
259,1,3,greedy
260,1,3,greedy
261,1,3,greedy
262,1,3,greedy
263,0,5,random
