iter_b,zero_prob_b,one_prob_b
1,1.0,0.0
2,0.5,0.5
3,0.33,0.67
4,0.25,0.75
5,0.2,0.8
6,0.17,0.83
7,0.14,0.86
8,0.12,0.88
9,0.11,0.89
10,0.1,0.9
11,0.09,0.91
12,0.08,0.92
13,0.08,0.92
14,0.07,0.93
15,0.07,0.93
16,0.06,0.94
17,0.06,0.94
18,0.06,0.94
19,0.05,0.95
20,0.05,0.95
21,0.05,0.95
22,0.05,0.95
23,0.04,0.96
24,0.04,0.96
25,0.08,0.92
26,0.12,0.88
27,0.11,0.89
28,0.11,0.89
29,0.1,0.9
30,0.13,0.87
31,0.13,0.87
32,0.12,0.88
33,0.15,0.85
34,0.15,0.85
35,0.14,0.86
36,0.14,0.86
37,0.14,0.86
38,0.13,0.87
39,0.13,0.87
40,0.12,0.88
41,0.12,0.88
42,0.12,0.88
43,0.12,0.88
44,0.11,0.89
45,0.11,0.89
46,0.11,0.89
47,0.11,0.89
48,0.1,0.9
49,0.1,0.9
50,0.1,0.9
51,0.1,0.9
52,0.1,0.9
53,0.09,0.91
54,0.11,0.89
55,0.11,0.89
56,0.11,0.89
57,0.11,0.89
58,0.1,0.9
59,0.1,0.9
60,0.1,0.9
61,0.1,0.9
62,0.1,0.9
63,0.1,0.9
64,0.09,0.91
65,0.09,0.91
66,0.09,0.91
67,0.09,0.91
68,0.09,0.91
69,0.09,0.91
70,0.09,0.91
71,0.08,0.92
72,0.08,0.92
73,0.08,0.92
74,0.08,0.92
75,0.08,0.92
76,0.08,0.92
77,0.08,0.92
78,0.08,0.92
79,0.08,0.92
80,0.07,0.93
81,0.07,0.93
82,0.07,0.93
83,0.07,0.93
84,0.07,0.93
85,0.08,0.92
86,0.08,0.92
87,0.08,0.92
88,0.08,0.92
89,0.08,0.92
90,0.09,0.91
91,0.09,0.91
92,0.09,0.91
93,0.09,0.91
94,0.09,0.91
95,0.09,0.91
96,0.09,0.91
97,0.09,0.91
98,0.09,0.91
99,0.09,0.91
100,0.09,0.91
101,0.09,0.91
102,0.09,0.91
103,0.09,0.91
104,0.09,0.91
105,0.09,0.91
106,0.08,0.92
107,0.08,0.92
108,0.08,0.92
109,0.08,0.92
110,0.08,0.92
111,0.09,0.91
112,0.09,0.91
113,0.09,0.91
114,0.09,0.91
115,0.09,0.91
116,0.09,0.91
117,0.09,0.91
118,0.08,0.92
119,0.08,0.92
120,0.08,0.92
121,0.08,0.92
122,0.08,0.92
123,0.09,0.91
124,0.09,0.91
125,0.1,0.9
126,0.1,0.9
127,0.09,0.91
128,0.09,0.91
129,0.09,0.91
130,0.09,0.91
131,0.09,0.91
132,0.09,0.91
133,0.09,0.91
134,0.09,0.91
135,0.09,0.91
136,0.09,0.91
137,0.09,0.91
138,0.09,0.91
139,0.09,0.91
140,0.09,0.91
141,0.09,0.91
142,0.08,0.92
143,0.08,0.92
144,0.08,0.92
145,0.08,0.92
146,0.08,0.92
147,0.08,0.92
148,0.08,0.92
149,0.08,0.92
150,0.08,0.92
151,0.09,0.91
152,0.09,0.91
153,0.08,0.92
154,0.08,0.92
155,0.08,0.92
156,0.08,0.92
157,0.08,0.92
158,0.08,0.92
159,0.08,0.92
160,0.08,0.92
161,0.08,0.92
162,0.08,0.92
163,0.08,0.92
164,0.08,0.92
165,0.08,0.92
166,0.08,0.92
167,0.08,0.92
168,0.08,0.92
169,0.08,0.92
170,0.08,0.92
171,0.08,0.92
172,0.08,0.92
173,0.08,0.92
174,0.08,0.92
175,0.08,0.92
176,0.08,0.92
177,0.08,0.92
178,0.08,0.92
179,0.08,0.92
180,0.08,0.92
181,0.08,0.92
182,0.08,0.92
183,0.08,0.92
184,0.08,0.92
185,0.08,0.92
186,0.08,0.92
187,0.08,0.92
188,0.08,0.92
189,0.08,0.92
190,0.08,0.92
191,0.08,0.92
192,0.08,0.92
193,0.08,0.92
194,0.08,0.92
195,0.08,0.92
196,0.08,0.92
197,0.08,0.92
198,0.08,0.92
199,0.08,0.92
200,0.08,0.92
201,0.08,0.92
202,0.08,0.92
203,0.08,0.92
204,0.08,0.92
205,0.08,0.92
206,0.08,0.92
207,0.08,0.92
208,0.08,0.92
209,0.08,0.92
210,0.08,0.92
211,0.08,0.92
212,0.08,0.92
213,0.08,0.92
214,0.08,0.92
215,0.09,0.91
216,0.09,0.91
217,0.09,0.91
218,0.09,0.91
219,0.09,0.91
220,0.09,0.91
221,0.09,0.91
222,0.09,0.91
223,0.09,0.91
224,0.08,0.92
225,0.08,0.92
226,0.09,0.91
227,0.09,0.91
228,0.09,0.91
229,0.09,0.91
230,0.09,0.91
231,0.09,0.91
232,0.09,0.91
233,0.09,0.91
234,0.09,0.91
235,0.09,0.91
236,0.09,0.91
237,0.09,0.91
238,0.09,0.91
239,0.09,0.91
240,0.09,0.91
241,0.09,0.91
242,0.1,0.9
